City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bumba,2.1833,22.4667,37.54,19,84,1.02,CD,1706697995
84,arraial do cabo,-22.9661,-42.0278,25.92,94,75,1.54,BR,1706697996
85,cosne-cours-sur-loire,47.3333,3.1667,10.51,84,87,2.4,FR,1706697996
86,nizhniy kuranakh,58.8353,125.4869,-25.3,99,100,1.32,RU,1706697996
87,mount isa,-20.7333,139.5,25.87,83,100,4.63,AU,1706697996
88,port saint john's,-31.6229,29.5448,28.94,65,52,9.55,ZA,1706697786
89,thunder bay,48.4001,-89.3168,-4.01,100,75,1.03,CA,1706697756
90,yonago,35.4333,133.3333,8.93,81,75,0.51,JP,1706697997
91,arkhangel'sk,64.5401,40.5433,0.07,63,0,4.0,RU,1706697997
92,sergeyevka,53.88,67.4158,-15.57,96,39,1.64,KZ,1706697997
93,piotrkow kujawski,52.5511,18.4991,7.73,89,100,6.19,PL,1706697998
94,holualoa,19.6228,-155.9522,21.91,91,75,4.63,US,1706697749
95,hawaiian paradise park,19.5933,-154.9731,22.8,98,100,3.6,US,1706697768
96,constantia,44.1833,28.65,4.38,55,15,1.16,RO,1706697998
97,luderitz,-26.6481,15.1594,26.15,55,5,8.66,NA,1706697999
98,new norfolk,-42.7826,147.0587,17.72,61,99,1.74,AU,1706697999
99,bishkek,42.87,74.59,-2.89,90,100,1.87,KG,1706697999
100,kavaratti,10.5669,72.642,27.87,67,36,4.76,IN,1706697999
101,nadi,-17.8,177.4167,27.0,89,75,2.06,FJ,1706697792
102,qarazhal,48.0078,70.7903,-10.37,90,100,7.09,KZ,1706698000
103,isafjordur,66.0755,-23.124,-5.98,79,75,1.03,IS,1706698000
104,nanping,26.645,118.1736,19.16,88,60,1.43,CN,1706698000
105,saint-pierre,-21.3393,55.4781,28.82,74,0,11.83,RE,1706698000
106,haiku-pauwela,20.9219,-156.3051,21.13,89,100,1.34,US,1706698001
107,yokadouma,3.5167,15.05,36.87,11,100,2.59,CM,1706698001
108,crane,31.3974,-102.3501,10.8,51,82,2.86,US,1706697755
109,hanting,36.7708,119.2108,-1.93,66,100,6.89,CN,1706698001
110,ripanj,44.639,20.5204,3.84,37,2,0.7,RS,1706698002
111,port alfred,-33.5906,26.891,29.8,63,77,11.29,ZA,1706697756
112,badger,64.8,-147.5333,-30.86,73,40,0.0,US,1706697758
113,stanley,54.868,-1.6985,5.85,83,20,9.26,GB,1706697756
114,caleta de carquin,-11.0925,-77.6267,23.07,86,100,3.49,PE,1706698002
115,tazovsky,67.4667,78.7,-24.26,97,14,5.63,RU,1706698003
116,vadso,70.0744,29.7487,2.09,69,20,12.86,NO,1706697758
117,jingdezhen,29.2947,117.2079,15.14,96,96,1.36,CN,1706698003
118,misratah,32.3754,15.0925,15.04,46,57,6.37,LY,1706698003
119,kushikino,31.7167,130.2667,16.71,95,40,3.74,JP,1706698004
120,alofi,-19.0595,-169.9187,27.14,82,100,1.56,NU,1706698004
121,puerto aysen,-45.4,-72.7,14.35,100,100,1.62,CL,1706698004
122,alta,69.9689,23.2717,0.66,65,0,2.06,NO,1706698004
123,malabar,-33.9667,151.25,22.88,82,75,8.75,AU,1706698005
124,wailua homesteads,22.0669,-159.378,21.24,86,100,3.09,US,1706698005
125,ghat,24.9647,10.1728,13.74,30,0,3.66,LY,1706698005
126,iskateley,67.6803,53.1512,0.01,93,100,9.39,RU,1706697781
127,carnarvon,-24.8667,113.6333,29.8,58,7,11.69,AU,1706697772
128,dudinka,69.4058,86.1778,-17.99,84,92,9.39,RU,1706698007
129,uryupinsk,50.8047,42.0138,-0.22,94,93,1.91,RU,1706697961
130,ambon,-3.6954,128.1814,29.08,79,40,4.63,ID,1706698007
131,puerto natales,-51.7236,-72.4875,9.4,88,98,1.85,CL,1706697765
132,damaturu,11.747,11.9608,28.93,17,33,7.08,NG,1706698008
133,tsetserleg,47.475,101.4542,-21.44,95,24,1.04,MN,1706698008
134,chonchi,-42.6128,-73.8092,16.18,93,94,1.27,CL,1706698008
135,micheweni,-4.9667,39.8333,29.55,69,88,5.46,TZ,1706698008
136,sidney,-33.8679,151.2073,22.69,84,75,8.75,AU,1706697829
137,cidreira,-30.1811,-50.2056,21.7,84,10,3.13,BR,1706698009
138,luanco,43.6152,-5.7934,16.37,58,33,0.58,ES,1706698009
139,i-n-salah,27.1935,2.4607,19.22,25,0,9.57,DZ,1706698009
140,tolanaro,-25.0319,46.9987,28.04,74,75,8.23,MG,1706697782
141,maumere,-8.6199,122.2111,27.66,79,78,1.8,ID,1706697775
142,udachny,66.4167,112.4,-29.04,100,79,1.14,RU,1706697770
143,yuzhno-kurilsk,44.0306,145.8556,-2.01,71,100,3.87,RU,1706698010
144,nehe,48.4833,124.8333,-30.55,99,48,0.73,CN,1706698010
145,kegen,43.0197,79.2203,-9.38,97,100,0.83,KZ,1706698011
146,nola,40.922,14.5329,14.79,37,2,1.36,IT,1706698011
147,macherla,16.4833,79.4333,30.87,33,76,2.81,IN,1706698011
148,keflavik,64.0049,-22.5624,-1.05,74,75,16.46,IS,1706697761
149,hithadhoo,-0.6,73.0833,28.04,75,20,4.21,MV,1706698012
150,hermanus,-34.4187,19.2345,28.22,73,97,4.38,ZA,1706697776
151,kitimat,54.0524,-128.6534,5.21,64,100,1.34,CA,1706698012
152,luanda,-8.8368,13.2343,27.0,82,75,5.14,AO,1706698012
